องค์การขนส่งมวลชนกรุงเทพฯ,องค์การขนส่งมวลชนกรุงเทพ
กฟผ.,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
กฟภ.,การไฟฟ้าส่วนภูมิภาค
กยต.,การยางแห่งประเทศไทย
กรอ.,กองทุนเงินกู้ยืมเพื่อการศึกษาที่ผูกกับรายได้ในอนาคต
กศก.,กรมศุลกากร
กศน.,กรมส่งเสริมการเรียนรู้
กสช.,กองงานคณะกรรมการกิจการวิทยุกระจายเสียงและวิทยุโทรทัศน์แห่งชาติ
กสท.,สำนักงานคณะกรรมการกิจการกระจายเสียงและกิจการโทรทัศน์
กสร.,กรมสวัสดิการและคุ้มครองแรงงาน
กสส.,คณะกรรมการส่งเสริมและประสานงานสตรีแห่งชาติ
กสอ.,กรมส่งเสริมอุตสาหกรรม
ขรก.,ข้าราชการ
ค.บ.,ครุศาสตรบัณฑิต
ค.ศ.,คริสต์ศักราช
คจก.,โครงการจัดสรรที่ดินทำกินแก่ราษฎรผู้ยากไร้ในพื้นที่ป่าสงวนเสื่อมโทรม
คปภ.,สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย
คมช.,คณะมนตรีความมั่นคงแห่งชาติ
ครป.,คณะกรรมการรณรงค์เพื่อประชาธิปไตย
ครม.,คณะรัฐมนตรี
ครส.,คณะกรรมการแรงงานสัมพันธ์
คสช.,คณะรักษาความสงบแห่งชาติ
คอท.,โครงการจัดการเพื่ออนุรักษ์ทรัพยากรธรรมชาติ
คอส.,โครงการอาสาสมัครเพื่อสังคม
จ.ม.,จัตุรถาภรณ์มงกุฏไทย
จ.ศ.,จุลศักราช
จนท.,เจ้าหน้าที่
จปร.,มหาจุฬาลงกรณ์ปรมราชาธิราช
จยย.,จักรยานยนต์
จสต.,จ่าสิบตำรวจ
จสอ.,จ่าสิบเอก
ช.ค.,ลูกจ้างชั่วคราวของส่วนราชการ
ชรบ.,ชุดรักษาความปลอดภัยหมู่บ้าน
ฌกส.,ฌาปนกิจสงเคราะห์
ด.ช.,เด็กชาย
ด.ญ.,เด็กหญิง
ด.ต.,นายดาบตำรวจ
ต.ค.,ตุลาคม
ตชด.,กองบัญชาการตำรวจตระเวนชายแดน
ตปท.,ต่างประเทศ
ถ.พ.,ความถ่วงจำเพาะ
ท.ญ.,ทันตแพทย์หญิง
ท.บ.,ทันตแพทยศาสตรบัณฑิต
ท.พ.,ทะเบียนพาณิชย์
ทกท.,ท่าอากาศยานกรุงเทพ
ททท.,การท่องเที่ยวแห่งประเทศไทย
ททบ.,สถานีวิทยุโทรทัศน์กองทัพบก
ทปอ.,ที่ประชุมอธิการบดีแห่งประเทศไทย
ทรท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย
ทศท.,องค์การโทรศัพท์แห่งประเทศไทย
ทอท.,การท่าอากาศยานแห่งประเทศไทย
ธ.ค.,ธันวาคม
ธกส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร 
ธปท.,ธนาคารแห่งประเทศไทย
ธพส.,ธนารักษ์พัฒนาสินทรัพย์
ธอส.,ธนาคารอาคารสงเคราะห์
น.ช.,นักโทษชาย
น.ญ.,นักโทษหญิง
น.ท.,นาวาอากาศโท
น.น.,น้ำหนัก
น.บ.,นิติศาสตรบัณฑิต
น.พ.,นายแพทย์
น.ร.,นพรัตนราชวราภรณ์
น.ศ.,นักศึกษา
น.ส.,นางสาว
นคป.,หน่วยคุ้มครองประชาชน
นปก.,กลุ่มแนวร่วมประชาธิปไตยขับไล่เผด็จการ
นปช.,แนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ
นพค.,หน่วยพัฒนาการเคลื่อนที่
นศท.,นักศึกษาวิชาทหาร
นสพ.,หนังสือพิมพ์
นอภ.,นายอำเภอ
บ.ก.,บรรณาธิการ
บกท.,กองบัญชาการกองทัพไทย
บขส.,บริษัท ขนส่ง จำกัด
บงล.,บริษัทเงินทุนและหลักทรัพย์จำกัด
บชน.,กองบัญชาการตำรวจนครบาล
บบส.,บรรษัทบริหารสินทรัพย์สถาบันการเงิน
บมจ.,บริษัทมหาชนจำกัด
บลจ.,บริษัทหลักทรัพย์จัดการกองทุน
ป.โท,ปริญญาโท
ป.ธ.,เปรียญธรรม
ป.ล.,ปัจฉิมลิขิต
ปกส.,สำนักงานประกันสังคมจังหวัดภูเก็ต สาขากะทู้
ปชต.,ประชาธิปไตย
ปชป.,พรรคประชาธิปัตย์
ปชร.,พรรคประชาธิปัตย์
ปชส.,ประชาสัมพันธ์
ปณก.,ไปรษณีย์กลาง
ปณจ.,ที่ทำการไปรษณีย์รับจ่าย
ปณช.,ที่ทำการไปรษณีย์อนุญาตเอกชน
ปณฝ.,ที่ทำการไปรษณีย์รับฝาก
ปณศ.,ที่ทำการศูนย์ไปรษณีย์ทางอากาศ
ปตท.,การปิโตรเลียมแห่งประเทศไทย
ปธน.,ประธานาธิบดี
ปปง.,สำนักงานป้องกันและปราบปรามการฟอกเงิน
ปปช.,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
ปรส.,องค์การเพื่อการปฏิรูประบบสถาบันการเงิน
ปวช.,ประกาศนียบัตรวิชาชีพ
ปวท.,ประกาศนียบัตรวิชาชีพเทคนิค
ปวส.,ประกาศนียบัตรวิชาชีพชั้นสูง
ผกก.,ผู้กำกับ
ผกค.,ผู้ก่อการร้ายคอมมิวนิสต์
ผคท.,พรรคคอมมิวนิสต์แห่งประเทศไทย
ผจก.,ผู้จัดการ
ผจว.,ผู้ว่าราชการจังหวัด
ผญบ.,ผู้ใหญ่บ้าน
ผวจ.,ผู้ว่าราชการจังหวัด
พ.ค.,พฤษภาคม
พ.ญ.,สัตวแพทย์หญิง
พ.ต.,พันตรี
พ.ศ.,พุทธศักราช
พ.อ.,พันเอก
พกส.,พนักงานเก็บค่าโดยสาร
พขร.,พนักงานขับรถ
พคก.,พรรคคอมมิวนิสต์กัมพูชา
พคจ.,พรรคคอมมิวนิสต์จีน
พคท.,พรรคคอมมิวนิสต์แห่งประเทศไทย
พงส.,พนักงานสอบสวน
พธม.,พันธมิตรประชาชนเพื่อประชาธิปไตย
พปช.,พรรคประชาธิปัตย์
พรบ.,พระราชบัญญัติ
ภ.พ.,ภาษีมูลค่าเพิ่ม
ภบท.,ภาษีบำรุงท้องที่
ม.ค.,มกราคม
ม.จ.,หม่อมเจ้า
ม.ล.,หม่อมหลวง
มท.1,รัฐมนตรีว่าการกระทรวงมหาดไทย
มธก.,มหาวิทยาลัยธรรมศาสตร์
มพด.,มูลนิธิเพื่อการพัฒนาเด็ก
มพบ.,มูลนิธิเพื่อผู้บริโภค
มรภ.,มหาวิทยาลัยราชภัฎภูเก็ต
มรว.,หม่อมราชวงศ์
มศว.,มหาวิทยาลัยศรีนครินทรวิโรฒ
มสธ.,มหาวิทยาลัยสุโขทันธรรมาธิราช
มอก.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
ร.ง.,โรงงาน
ร.ด.,กรมการรักษาดินแดน
ร.ต.,ร้อยตรี
ร.ท.,ร้อยโท
ร.น.,ราชนาวี
ร.บ.,รัฐศาสตรบัณฑิต
ร.พ.,โรงพิมพ์
ร.ร.,โรงเรียน
ร.ล.,เรือหลวง
ร.ศ.,รัตนโกสินทร์ศก
ร.อ.,ร้อยเอก
รตอ.,ร้อยตำรวจเอก
รธน.,รัฐธรรมนูญ
รปภ.,เจ้าหน้ารักษาความปลอดภัย
รพช.,สำนักงานเร่งรัดพัฒนาชนบท
รฟท.,การรถไฟแห่งประเทศไทย
รฟม.,องค์การรถไฟฟ้ามหานคร
รมช.,รัฐมนตรีช่วยว่าการกระทรวง
รมต.,รัฐมนตรี
รมน.,รักษาความมั่นคงภายใน
รมว.,รัฐมนตรีว่าการกระทรวง
รษก.,รักษาราชการแทน
รสก.,รัฐวิสาหกิจ
รสช.,คณะรักษาความสงบเรียบร้อยแห่งชาติ
ล.ญ.,ลูกเสือสามัญรุ่นใหญ่
ล.ว.,ลูกเสือวิสามัญ
ว.ค.,วิทยาลัยครู
วปอ.,วิทยาลัยป้องกันราชอาณาจักร
วอศ.,วิทยาลัยอาชีวศึกษา
ศ.บ.,เศรษฐศาสตรบัณฑิต
ศนท.,ศูนย์กลางนิสิตนักศึกษาแห่งประเทศไทย
ศบอ.,ศูนย์บริการเอกสารการวิจัยแห่งประเทศไทย
ศปช.,ศูนย์ประสานการพัฒนาชนบทแห่งชาติ
ส.ก.,สมาชิกสภากรุงเทพมหานคร
ส.ค.,สิงหาคม
ส.ต.,สิบตรี
ส.ว.,สมาชิกวุฒิสภา
ส.ส.,สมาชิกสภาผู้แทนราษฏร
ส.ห.,สารวัตรทหาร
ส.อ.,สิบเอก
สกท.,สำนักงานคณะกรรมการส่งเสริมการลงทุน
สกว.,สำนักงานกองทุนสนับสนุนการวิจัย
สกศ.,สำนักงานคณะกรรมการการศึกษาแห่งชาติ
สขช.,สำนักข่าวกรองแห่งชาติ
สคบ.,สำนักงานคณะกรรมการคุ้มครองผู้บริโภค
สคส.,สมัชชาองค์กรเอกชนด้านการคุ้มครองสิ่งแวดล้อมและอนุรักษ์ทรัพยากรธรรมชาติ
สจร.,สำนักงานคณะกรรมการจัดระบบการจราจรทางบก
สตง.,สำนักงานตรวจเงินแผ่นดิน
สตช.,สำนักงานตำรวจแห่งชาติ
สตอ.,สิบตำรวจเอก
สทก.,ใบรับรองสิทธิทำกิน
สทท.,สถานีวิทยุโทรทัศน์แห่งประเทศไทย
สทร.,สำนักงานกลางทะเบียนราษฎร์
สนง.,สำนักงาน
สนญ.,สำนักงานใหญ่
สปก.,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
สปจ.,สำนักงานการประถมศึกษาจังหวัด
สปช.,สำนักงานคณะกรรมการการประถมศึกษาแห่งชาติ
สปน.,สำนักงานปลัดสำนักนายกรัฐมนตรี
สปศ.,สำนักงานการปฏิรูปการศึกษา
สปส.,สำนักงานประกันสังคม
สปอ.,สำนักงานการประถมศึกษาอำเภอ
สพช.,สำนักงานคณะกรรมการนโยบายพลังงานแห่งชาติ
สพท.,สหพันธ์นิสิตนักศึกษาแพทย์แห่งประเทศไทย
สภอ.,สถานีตำรวจภูธรอำเภอ
สมช.,สำนักงานสภาความมั่นคงแห่งชาติ
สมอ.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
สยช.,สำนักงานคณะกรรมการส่งเสริมและประสานงานเยาวชนแห่งชาติ
สรส.,สมาพันธ์แรงงานรัฐวิสาหกิจสัมพันธ์
สลค.,สำนักเลขาธิการคณะรัฐมนตรี
สวช.,สำนักงานโครงการสอบวัดทักษะวิชาการระดับชาติ
สวญ.,สารวัตรใหญ่
สวท.,สถานีวิทยุกระจายเสียงแห่งประเทศไทย
สวป.,สารวัตรปราบปราม
สวล.,สำนักงานคณะกรรมการสิ่งแวดล้อมแห่งชาติ
สวส.,สารวัตรสอบสวน
สศค.,สำนักงานเศรษฐกิจการคลัง
สศช.,สำนักงานคณะกรรมการพัฒนาการเศรษฐกิจและสังคมแห่งชาติ
สสช.,สำนักงานสถิติแห่งชาติ
สสท.,สมาคมส่งเสริมเทคโนโลยี
สสร.,สมาชิกสภาร่างรัฐธรรมนูญ
สสส.,สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ
เสธ.,เสนาธิการ
หจก.,ห้างหุ้นส่วนจำกัด
อ.จ.,อาจารย์
อ.บ.,อักษรศาสตรบัณฑิต
อ.ย.,สำนักงานคณะกรรมการอาหารและยา
อ.ส.,กองบัญชาการกองอาสารักษาดินแดน
อคส.,องค์การคลังสินค้า
อจญ.,อาจารย์ใหญ่
อชก.,เอเชียนเกมส์
อตก.,องค์การตลาดเพื่อเกษตรกร
อบจ.,องค์การบริหารส่วนจังหวัด
อบต.,องค์การบริหารส่วนตำบล
อปท.,องค์กรปกครองส่วนท้องถิ่น
อผศ.,องค์การสงเคราะห์ทหารผ่านศึก
อพช.,องค์กรพัฒนาเอกชน
อพป.,หมู่บ้านอาสาพัฒนาและป้องกันตนเอง
อสป.,อาสาสมัครปกป้องสถาบัน
อสม.,อาสาสมัครสาธารณสุข
อสร.,องค์การผลิตอาหารสำเร็จรูป
ใคร่,ประสงค์
ช่วย,อนุเคราะห์
ทำไม,เหตุใด
อะไร,สิ่งใด
อะไร,สิ่งใด
พลฯ,พลทหาร
ฯลฯ,ฯลฯ
กก.,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร
กน.,กรมการค้าภายใน
กม.,กิโลเมตร
คห.,คหกรรม
จท.,จ่าโท
จว.,จังหวัด
ชม.,ชั่วโมง
ซม.,เซนติเมตร
ดร.,ดอกเตอร์
ต.ค,ต.ค
ต.ม,สำนักงานตรวจคนเข้าเมือง
ตม.,สำนักงานตรวจคนเข้าเมือง
ตร.,ตำรวจ
ทค.,สำนักงานคณะกรรมการกิจการโทรคมนาคม
ทบ.,กองทัพบก
ทร.,กองทัพเรือ
ทส.,นายทหารคนสนิท
ทอ.,กองทัพอากาศ
นน.,น้ำหนัก
นพ.,นายแพทย์
นร.,	นักเรียน
บช.,บัญชี
บพ.,กรมการบินพาณิชย์
ปณ.,ไปรษณีย์
ปล.,ปัจฉิมลิขิต
ปส.,กรมประชาสงเคราะห์
ปอ.,รถโดยสารประจำทางปรับอากาศ
ผช.,ผู้ช่วย
ผญ.,ผู้ใหญ่บ้าน
ผบ.,ผู้บังคับการ
ผศ.,ผู้ช่วยศาสตราจารย์
ผอ.,ผู้อำนวยการ
พช.,สำนักงานพัฒนาชุมชนจังหวัด
พท.,พื้นที่
พป.,สถาบันพระปกเกล้า
พม.,กรมพัฒนาสังคมและสวัสดิการ
พว.,สำนักพระราชวัง
ภก.,เภสัชกร
ภญ.,เภสัชกรหญิง
มก.,มิลลิกรัม
มช.,มหาวิทยาลัยเชียงใหม่
มม.,มิลลิเมตร
มร.,	มิสเตอร์
มล.,	มิลลิลิตร
มส.,มหาวิทยาลัยมหาสารคาม
ยธ.,	กรมโยธาธิการ
รง.,กระทรวงแรงงาน
รบ.,ราชบัณฑิตยสถาน
รพ.,โรงพยาบาล
รร.,โรงแรม
รศ.,รองศาสตราจารย์
รอ.,กรมราชองครักษ์กระทรวงกลาโหม
วค.,วิทยาลัยครู
วช.,สำนักงานคณะกรรมการวิจัยแห่งชาติ
วท.,	วิทยาลัยเทคนิค
ศก.,กรมศุลกากร
ศอ.,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ
สค.,สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา
สจ.,สมาชิกสภาจังหวัด
สช.,สำนักงานคณะกรรมการการศึกษาเอกชน
สต.,สตางค์
สน.,สถานีตำรวจนครบาล
สป.,สำนักงานปลัดกระทรวงศึกษาธิการ
สผ.,สำนักงานนโยบายและแผนสิ่งแวดล้อม
สภ.,สถานีตำรวจภูธร
สส.,สภาผู้แทนราษฎร
หน.,หัวหน้า
อก.,อัยการ
อจ.,อาจารย์
อต.,กรมอุตุนิยมวิทยา
อย.,สำนักงานคณะกรรมการอาหารและยา
อส.,สมาชิกอาสารักษาดินแดน
ถ้า,หาก
บอก,แจ้ง
ใคร,ผู้ใด
โง่,ขาดความรู้ความเข้าใจ
เลว,บกพร่อง
ฟ.,ฟาเรนไฮต์
ม.,เมตร
ร.,รัชกาล
ล.,ลิตร
ศ.,ศาสตราจารย์
อ.,อาจารย์
ก.,กรัม
ทำ,ดำเนินการ
ทำการ,ดำเนินการ